"all_hashtags","Freq"
"mercadona",2447
"Mercadona",1867
"hacendado",394
"COVID19",252
"Covid_19",240
"coronavirus",224
"España",219
"cerveza",205
"YoMeQuedoEnCasa",174
"steinburg",173
"coronavirusEspana",162
"cervecero",154
"COVIDー19",145
"empleo",127
"beer",124
"birra",121
"COVID2019",121
"CoronavirusESP",119
"comidasana",111
"yanezaptomercadona",111
"cebada",109
"zumodecebada",100
"Córdoba",97
"comida",94
"CODVID19",90
"BTSxMERCADONA",87
"dietasana",87
"Madrid",86
"MERCADONA",86
"LaCarlota",80
"singluten",80
"deliplus",77
"Andalucia",76
"Coronavirusmadrid",75
"soyungordo",75
"quedateEnTuCasa",72
"trabajo",70
"COVID19espana",69
"bejar",68
"Hacendado",68
"NO_A_MERCADONA",68
"ricorico",67
"buencomer",66
"carrefour",65
"supermercados",65
"Barcelona",64
"Andalucía",63
"Coronavid19",63
"NoMásPlásticosEnElSuper",61
"mediterráneopress",57
"mundocaliope",57
"QuedateEnCasa",57
"Empleo",55
"food",55
"aceite",52
"sal",52
"EscueladeEmpresarios",51
"navidad",51
"spain",50
"Antequera",49
"BoicotMercadona",48
"Eurovision",48
"papelhigienico",48
"saborasur",48
"Valencia",48
"comidareal",46
"Lidl",46
"Marbella",46
"pamojar",46
"ecommerce",45
"yomequedoencasa",45
"JuanRoig",43
"sinlactosa",43
"humor",42
"lidl",42
"Málaga",42
"economía",41
"Barakaldo",40
"delicioso",40
"dieta",40
"Murcia",40
"pizza",40
"Gracias",39
"Melilla",39
"Navidad",39
"rensika",39
"FelizLunes",38
"madrid",38
"vegan",38
"Amazon",37
"chocolate",37
"queso",37
"Sevilla",37
"valencia",37
"Vdbbsolidario",37
"BTSxMercadona",36
"cuarentena",36
"demagogiapoliticabarata",36
"estadodealarma",36
"NoJaulasDIA",36
"sushi",36
"salamanca",35
"BuenosDias",34
"desayuno",34
"EDEMexperience",34
"Getafe",34
"gracias",34
"ABC",33
"cinefilo",33
"covid19",33
"estiloandaluz",33
"quedateencasa",33
"EDEM",32
"logística",32
"solidaridad",32
"cafeconleche",31
"jamones",31
"malaga",31
"merienda",31
"supermercado",31
"tostada",31
"vino",31
"vinos",31
"cafe",30
"cine",30
"confinamiento",30
"empresa",30
"EsteVirusLoParamosUnidos",30
"fashionblogger",30
"FelizJueves",30
"film",30
"leche",30
"lunes",30
"pelicula",30
"peliculon",30
"ProfesoresEDEM",30
"youtuber",30
"empleocanarias",29
"MarketerosNocturnos",29
"VagaGeneral3O",29
"Canarias",28
"margarina",28
"MercadonateRoba",28
"tudiariodigital",28
"aceitedepalma",27
"buenosdias",27
"Carrefour",27
"CuarentenaCoronavirus",27
"palomitas",27
"pan",27
"popcorn",27
"receta",27
"somoscerveceros",27
"verano",27
"youtube",27
"100x100Canarias",26
"chorizo",26
"healthy",26
"Marketing",26
"Viladecans",26
"yahueleanavidad",26
"Benidorm",25
"construccionesmalaga",25
"retail",25
"shopping",25
"Tenempleo",25
"vdbbsolidario",25
"bancoalimentoscadiz",24
"ConAECOC",24
"eCommerce",24
"eDelivery",24
"españa",24
"estafa",24
"EstoNoTieneQueParar",24
"Granada",24
"healthyfood",24
"helado",24
"NosotrosLosMagicos",24
"novedadesmercadona",24
"pachuparselosdedos",24
"patatas",24
"plasticfree",24
"promocionesvdbb",24
"RSC",24
"SalvadosAmazon",24
"SanchezVeteYa",24
"solidariossiemprebac",24
"Spain",24
"VivaEspaña",24
"glutenfree",23
"precios",23
"alcampo",22
"Badalona",22
"comunitatvalenciana",22
"FelizDomingo",22
"pizarra",22
"rubicity",22
"aldi",21
"Alicante",21
"ALIGC17",21
"Bamos",21
"BuenosDiasATodos",21
"CataluñaIsSpain",21
"Coronavirus",21
"costadelsol",21
"EstoNOtienequePARAR",21
"FelizMartes",21
"foodporn",21
"Halloween",21
"machismo",21
"Mallorca",21
"mantecados",21
"marketing",21
"mercadonabusa",21
"movie",21
"postre",21
"quedatencasa",21
"sano",21
"teneriferent",21
"terror",21
"Zaragoza",21
"bizumbac38020",20
"cadiz",20
"HalaMadrid",20
"lamuralla",20
"Mangadona",20
"mascarillas",20
"operacionkilo2022",20
"Ucrania",20
"voluntariadobacadiz",20
"Catalunya",19
"fesbal",19
"LasRozas",19
"marbella",19
"política",19
"startups",19
"Valdebebascrece",19
"15x15",18
"45sindespidos",18
"Aprendilandia",18
"AturadaDePais",18
"bcnlegends",18
"buscarempleo",18
"Ceuta",18
"CLM",18
"compra",18
"Deliplus",18
"dia",18
"Dia",18
"eroski",18
"FridaysForFuture",18
"Galapagar",18
"Graduación2021",18
"GranRecogidaDeAlimentos",18
"HeroesDeSuper",18
"makeup",18
"marketerosnocturnos",18
"online",18
"pandemia",18
"plasticpollution",18
"polvorones",18
"Portugal",18
"Retail",18
"RománDavid",18
"Solidaridad",18
"Tarragona",18
"València",18
"vegano",18
"Yuncos",18
"christmas",17
"FelizMiercoles",17
"Huelva",17
"mantecado",17
"Salamanca",17
"Twitter",17
"CambioClimatico",16
"empleotenerife",16
"mascarilla",16
"pollo",16
"rufete",16
"Santander",16
"TransformacionDigital",16
"turrones",16
"vinorufete",16
"vinosalamanca",16
"VitoriaGasteiz",16
"3Oct",15
"ABCestrategia",15
"ABCoperaciones",15
"aguacate",15
"Alcobendas",15
"alimentacion",15
"Almuñécar",15
"arroz",15
"BabsonCollaborativeSummit2018",15
"BastaDespidosMercadona",15
"BlackFriday",15
"blegends",15
"Burjassot",15
"Cataluña",15
"ClimateAction",15
"ColmenarViejo",15
"comercio",15
"compras",15
"CoronavirusPandemic",15
"covid_19",15
"covid19ESP",15
"CuarentenaTotal",15
"desayunacontuprofe",15
"Ecologia",15
"Economía",15
"empleos",15
