date,scores,date
2017-01-01,"-0,9006000000000001",2017-01-01
2017-01-02,"-0,7534000000000001",2017-01-02
2017-01-03,"-0,7659",2017-01-03
2017-01-04,"-0,8504",2017-01-04
2017-01-05,"-0,23559999999999987",2017-01-05
2017-01-06,"-0,592",2017-01-06
2017-01-07,"-1,3836",2017-01-07
2017-01-08,"1,0339",2017-01-08
2017-01-09,"-1,0350000000000001",2017-01-09
2017-01-10,"-1,1162999999999998",2017-01-10
2017-01-11,"-2,6338999999999997",2017-01-11
2017-01-12,"-1,3934",2017-01-12
2017-01-13,"-0,3120999999999999",2017-01-13
2017-01-14,"-0,8853",2017-01-14
2017-01-15,"-0,592",2017-01-15
2017-01-16,"-0,27019999999999994",2017-01-16
2017-01-17,"0,2219000000000001",2017-01-17
2017-01-18,"0,9828",2017-01-18
2017-01-19,"-0,8",2017-01-19
2017-01-20,"0,7636",2017-01-20
2017-01-21,"-0,5068",2017-01-21
2017-01-22,"-0,5106",2017-01-22
2017-01-23,"0,4076",2017-01-23
2017-01-24,"-0,12169999999999986",2017-01-24
2017-01-25,"-1,7003",2017-01-25
2017-01-26,"-1,155",2017-01-26
2017-01-27,"-0,8879999999999999",2017-01-27
2017-01-28,"-0,48600000000000004",2017-01-28
2017-01-29,"0,3165",2017-01-29
2017-01-30,"-0,3923",2017-01-30
2017-01-31,"-0,6403999999999999",2017-01-31
2017-02-01,"-0,03939999999999999",2017-02-01
2017-02-02,"-0,016099999999999892",2017-02-02
2017-02-03,"-0,7425999999999999",2017-02-03
2017-02-04,"0,0",2017-02-04
2017-02-05,"-0,592",2017-02-05
2017-02-06,"0,06520000000000004",2017-02-06
2017-02-07,"1,2358000000000002",2017-02-07
2017-02-08,"-0,534",2017-02-08
2017-02-09,"0,4767",2017-02-09
2017-02-10,"0,04400000000000004",2017-02-10
2017-02-11,"-1,6990999999999998",2017-02-11
2017-02-12,"-2,7708",2017-02-12
2017-02-13,"0,6445000000000001",2017-02-13
2017-02-14,"-1,69",2017-02-14
2017-02-15,"-0,9209",2017-02-15
2017-02-16,"-1,6761",2017-02-16
2017-02-17,"0,12400000000000011",2017-02-17
2017-02-18,"0,0",2017-02-18
2017-02-19,"0,0",2017-02-19
2017-02-20,"-0,2553999999999999",2017-02-20
2017-02-21,"-0,6379999999999999",2017-02-21
2017-02-22,"1,165",2017-02-22
2017-02-23,"1,2776999999999998",2017-02-23
2017-02-24,"-1,4317",2017-02-24
2017-02-25,"0,7258",2017-02-25
2017-02-26,"-0,7377",2017-02-26
2017-02-27,"-0,8048",2017-02-27
2017-02-28,"0,046800000000000064",2017-02-28
2017-03-01,"1,0514000000000001",2017-03-01
2017-03-02,"0,15800000000000014",2017-03-02
2017-03-03,"-0,5647",2017-03-03
2017-03-04,"-1,7012",2017-03-04
2017-03-05,"0,09789999999999999",2017-03-05
2017-03-06,"0,48390000000000005",2017-03-06
2017-03-07,"0,015500000000000125",2017-03-07
2017-03-08,"0,38040000000000007",2017-03-08
2017-03-09,"-1,4213",2017-03-09
2017-03-10,"-0,28859999999999997",2017-03-10
2017-03-11,"0,04400000000000004",2017-03-11
2017-03-12,"-0,26039999999999996",2017-03-12
2017-03-13,"-0,3099999999999999",2017-03-13
2017-03-14,"-0,5479999999999999",2017-03-14
2017-03-15,"0,05500000000000005",2017-03-15
2017-03-16,"-1,1054",2017-03-16
2017-03-17,"0,08800000000000008",2017-03-17
2017-03-18,"0,34800000000000003",2017-03-18
2017-03-19,"0,4802",2017-03-19
2017-03-20,"-1,7297",2017-03-20
2017-03-21,"-1,1351",2017-03-21
2017-03-22,"-0,6651",2017-03-22
2017-03-23,"-0,5107",2017-03-23
2017-03-24,"-0,296",2017-03-24
2017-03-25,"-0,20769999999999994",2017-03-25
2017-03-26,"-1,1111",2017-03-26
2017-03-27,"0,6042",2017-03-27
2017-03-28,"-0,24309999999999998",2017-03-28
2017-03-29,"-1,6908",2017-03-29
2017-03-30,"-0,35789999999999994",2017-03-30
2017-03-31,"-0,6512",2017-03-31
2017-04-01,"-0,03359999999999996",2017-04-01
2017-04-02,"-0,592",2017-04-02
2017-04-03,"-1,3038999999999998",2017-04-03
2017-04-04,"-1,0866",2017-04-04
2017-04-05,"-0,592",2017-04-05
2017-04-06,"0,04400000000000004",2017-04-06
2017-04-07,"-0,592",2017-04-07
2017-04-08,"1,0091999999999999",2017-04-08
2017-04-09,"0,0",2017-04-09
2017-04-10,"0,0",2017-04-10
2017-04-11,"0,555",2017-04-11
2017-04-12,"0,20050000000000012",2017-04-12
2017-04-13,"-0,2743999999999999",2017-04-13
2017-04-14,"0,0",2017-04-14
2017-04-15,"-0,5327999999999999",2017-04-15
2017-04-16,"-0,5267",2017-04-16
2017-04-17,"-0,9656",2017-04-17
2017-04-18,"-0,1356",2017-04-18
2017-04-19,"-0,8220999999999999",2017-04-19
2017-04-20,"-0,08399999999999991",2017-04-20
2017-04-21,"-0,02290000000000003",2017-04-21
2017-04-22,"-0,2368",2017-04-22
2017-04-23,"-1,2443",2017-04-23
2017-04-24,"-1,2716999999999998",2017-04-24
2017-04-25,"0,2586000000000001",2017-04-25
2017-04-26,"-0,296",2017-04-26
2017-04-27,"0,5495",2017-04-27
2017-04-28,"-1,764",2017-04-28
2017-04-29,"1,7045",2017-04-29
2017-04-30,"0,0",2017-04-30
2017-05-01,"-0,296",2017-05-01
2017-05-02,"-0,72",2017-05-02
2017-05-03,"-0,2981",2017-05-03
2017-05-04,"-0,8879999999999999",2017-05-04
2017-05-05,"-0,6508",2017-05-05
2017-05-06,"-1,1209999999999998",2017-05-06
2017-05-07,"0,6322",2017-05-07
2017-05-08,"0,6068000000000001",2017-05-08
2017-05-09,"-0,6808",2017-05-09
2017-05-10,"0,30340000000000006",2017-05-10
2017-05-11,"0,0",2017-05-11
2017-05-12,"0,34",2017-05-12
2017-05-13,"-0,3736",2017-05-13
2017-05-14,"1,3924999999999998",2017-05-14
2017-05-15,"-0,06769999999999998",2017-05-15
2017-05-16,"-2,4284999999999997",2017-05-16
2017-05-17,"-1,3558",2017-05-17
2017-05-18,"-0,10180000000000006",2017-05-18
2017-05-19,"-0,25199999999999995",2017-05-19
2017-05-20,"-0,32239999999999996",2017-05-20
2017-05-21,"-0,8227",2017-05-21
2017-05-22,"-2,5554",2017-05-22
2017-05-23,"0,6237",2017-05-23
2017-05-24,"-1,2269999999999999",2017-05-24
2017-05-25,"-0,296",2017-05-25
2017-05-26,"-0,40430000000000005",2017-05-26
2017-05-27,"-1,0104",2017-05-27
2017-05-28,"-0,10549999999999998",2017-05-28
2017-05-29,"-1,3952",2017-05-29
2017-05-30,"-1,2209",2017-05-30
2017-05-31,"-1,248",2017-05-31
2017-06-01,"-0,5243",2017-06-01
