date,scores,date
2017-01-01,"-0,296",2017-01-01
2017-01-02,"0,0",2017-01-02
2017-01-03,"-0,4699",2017-01-03
2017-01-04,"-0,296",2017-01-04
2017-01-05,"-2,2681",2017-01-05
2017-01-06,"-0,296",2017-01-06
2017-01-07,"-0,5472",2017-01-07
2017-01-08,"0,4215",2017-01-08
2017-01-09,"-1,375",2017-01-09
2017-01-10,"-0,2023",2017-01-10
2017-01-11,"-0,296",2017-01-11
2017-01-12,"-0,5574",2017-01-12
2017-01-13,"0,0",2017-01-13
2017-01-14,"-0,07590000000000001",2017-01-14
2017-01-15,"0,0",2017-01-15
2017-01-16,"-1,0104",2017-01-16
2017-01-17,"0,468",2017-01-17
2017-01-18,"0,0",2017-01-18
2017-01-19,"-0,504",2017-01-19
2017-01-20,"0,0",2017-01-20
2017-01-21,"-0,7164000000000001",2017-01-21
2017-01-22,"-0,5106",2017-01-22
2017-01-23,"0,4648",2017-01-23
2017-01-24,"-0,07839999999999997",2017-01-24
2017-01-25,"-0,6325",2017-01-25
2017-01-26,"-0,3736",2017-01-26
2017-01-27,"-0,296",2017-01-27
2017-01-28,"0,7269",2017-01-28
2017-01-29,"0,0665",2017-01-29
2017-01-30,"-0,296",2017-01-30
2017-01-31,"-0,8227",2017-01-31
2017-02-01,"-0,296",2017-02-01
2017-02-02,"-0,5267",2017-02-02
2017-02-03,"-0,7425999999999999",2017-02-03
2017-02-04,"0,0",2017-02-04
2017-02-05,"-0,296",2017-02-05
2017-02-06,"0,0",2017-02-06
2017-02-07,"-0,4871",2017-02-07
2017-02-08,"-0,8374",2017-02-08
2017-02-10,"0,0",2017-02-10
2017-02-12,"0,0",2017-02-12
2017-02-13,"0,4939",2017-02-13
2017-02-14,"0,0",2017-02-14
2017-02-15,"-0,9209",2017-02-15
2017-02-16,"-1,3800999999999999",2017-02-16
2017-02-17,"-0,5324",2017-02-17
2017-02-18,"0,0",2017-02-18
2017-02-19,"0,0",2017-02-19
2017-02-20,"-0,5267",2017-02-20
2017-02-21,"-0,592",2017-02-21
2017-02-22,"0,3612",2017-02-22
2017-02-23,"0,5859",2017-02-23
2017-02-24,"-0,4184",2017-02-24
2017-02-25,"0,7258",2017-02-25
2017-02-26,"-0,1027",2017-02-26
2017-02-27,"-0,592",2017-02-27
2017-02-28,"0,007400000000000073",2017-02-28
2017-03-01,"0,8016",2017-03-01
2017-03-02,"-0,2675",2017-03-02
2017-03-03,"-0,592",2017-03-03
2017-03-04,"-1,4052",2017-03-04
2017-03-05,"0,3939",2017-03-05
2017-03-06,"0,0",2017-03-06
2017-03-07,"-0,296",2017-03-07
2017-03-08,"0,3612",2017-03-08
2017-03-09,"-0,5134",2017-03-09
2017-03-10,"-0,296",2017-03-10
2017-03-11,"0,0",2017-03-11
2017-03-12,"-0,48669999999999997",2017-03-12
2017-03-13,"-0,36389999999999995",2017-03-13
2017-03-14,"0,0",2017-03-14
2017-03-15,"-0,5574",2017-03-15
2017-03-16,"-0,8533999999999999",2017-03-16
2017-03-17,"0,68",2017-03-17
2017-03-18,"0,644",2017-03-18
2017-03-19,"0,4885",2017-03-19
2017-03-20,"-1,1377000000000002",2017-03-20
2017-03-21,"-0,592",2017-03-21
2017-03-22,"-0,4404",2017-03-22
2017-03-23,"0,5994",2017-03-23
2017-03-24,"-0,296",2017-03-24
2017-03-25,"-0,4184",2017-03-25
2017-03-26,"-0,24439999999999998",2017-03-26
2017-03-27,"-0,296",2017-03-27
2017-03-28,"0,0529",2017-03-28
2017-03-29,"-0,8374",2017-03-29
2017-03-30,"-0,296",2017-03-30
2017-03-31,"0,022199999999999998",2017-03-31
2017-04-01,"0,0",2017-04-01
2017-04-02,"-0,296",2017-04-02
2017-04-03,"-0,8879999999999999",2017-04-03
2017-04-04,"0,0",2017-04-04
2017-04-05,"-0,592",2017-04-05
2017-04-06,"0,34",2017-04-06
2017-04-10,"0,0",2017-04-10
2017-04-11,"0,0",2017-04-11
2017-04-12,"-0,296",2017-04-12
2017-04-13,"0,0",2017-04-13
2017-04-14,"0,0",2017-04-14
2017-04-15,"-0,5267",2017-04-15
2017-04-16,"-0,5267",2017-04-16
2017-04-17,"-0,6696",2017-04-17
2017-04-18,"0,4995",2017-04-18
2017-04-19,"0,1255",2017-04-19
2017-04-20,"-0,296",2017-04-20
2017-04-21,"0,0",2017-04-21
2017-04-22,"0,2899",2017-04-22
2017-04-23,"0,0",2017-04-23
2017-04-24,"0,0",2017-04-24
2017-04-25,"0,34",2017-04-25
2017-04-26,"0,0",2017-04-26
2017-04-27,"0,0",2017-04-27
2017-04-28,"0,4574",2017-04-28
2017-04-29,"1,3871",2017-04-29
2017-04-30,"0,0",2017-04-30
2017-05-01,"-0,296",2017-05-01
2017-05-02,"0,0",2017-05-02
2017-05-03,"-0,10149999999999998",2017-05-03
2017-05-04,"0,0",2017-05-04
2017-05-05,"-0,6508",2017-05-05
2017-05-06,"0,6166",2017-05-06
2017-05-07,"0,6322",2017-05-07
2017-05-08,"0,30340000000000006",2017-05-08
2017-05-09,"-0,6808",2017-05-09
2017-05-10,"0,5994",2017-05-10
2017-05-11,"0,0",2017-05-11
2017-05-12,"0,0",2017-05-12
2017-05-13,"-0,3736",2017-05-13
2017-05-14,"0,0",2017-05-14
2017-05-15,"0,0",2017-05-15
2017-05-16,"-0,296",2017-05-16
2017-05-17,"-0,296",2017-05-17
2017-05-18,"0,2899",2017-05-18
2017-05-19,"-0,296",2017-05-19
2017-05-20,"0,9699",2017-05-20
2017-05-21,"-0,8227",2017-05-21
2017-05-22,"-0,296",2017-05-22
2017-05-23,"-0,17369999999999997",2017-05-23
2017-05-24,"-0,5574",2017-05-24
2017-05-25,"0,0",2017-05-25
2017-05-26,"0,296",2017-05-26
2017-05-27,"-0,4184",2017-05-27
2017-05-28,"-0,7097",2017-05-28
2017-05-29,"0,0",2017-05-29
2017-05-30,"-0,296",2017-05-30
2017-05-31,"-0,5574",2017-05-31
2017-06-01,"0,6597",2017-06-01
2017-06-02,"-0,7937999999999998",2017-06-02
2017-06-03,"0,6103",2017-06-03
2017-06-05,"0,28430000000000005",2017-06-05
2017-06-06,"-0,296",2017-06-06
2017-06-07,"0,5859",2017-06-07
2017-06-08,"0,9393",2017-06-08
2017-06-09,"0,5356000000000001",2017-06-09
2017-06-10,"0,21430000000000005",2017-06-10
2017-06-11,"-0,296",2017-06-11
2017-06-12,"-0,3282999999999999",2017-06-12
2017-06-13,"0,8271",2017-06-13
2017-06-14,"-0,592",2017-06-14
2017-06-15,"0,0",2017-06-15
2017-06-16,"0,8327",2017-06-16
2017-06-17,"0,7027",2017-06-17
2017-06-18,"-0,296",2017-06-18
2017-06-19,"-0,4466",2017-06-19
2017-06-20,"-0,592",2017-06-20
2017-06-21,"-0,296",2017-06-21
2017-06-22,"-0,592",2017-06-22
2017-06-23,"0,8153",2017-06-23
2017-06-24,"1,5163",2017-06-24
2017-06-25,"-0,11809999999999998",2017-06-25
2017-06-27,"-0,3690000000000001",2017-06-27
2017-06-28,"0,0",2017-06-28
2017-06-29,"0,0",2017-06-29
2017-06-30,"0,1779",2017-06-30
2017-07-01,"-1,228",2017-07-01
2017-07-02,"-0,592",2017-07-02
2017-07-03,"0,31640000000000007",2017-07-03
2017-07-04,"0,0",2017-07-04
2017-07-05,"0,0",2017-07-05
2017-07-06,"-0,296",2017-07-06
2017-07-07,"-0,8069",2017-07-07
2017-07-08,"-0,296",2017-07-08
2017-07-09,"-0,296",2017-07-09
2017-07-11,"-0,296",2017-07-11
2017-07-12,"0,0",2017-07-12
2017-07-13,"-0,4184",2017-07-13
2017-07-14,"0,0",2017-07-14
2017-07-15,"0,0",2017-07-15
2017-07-16,"-1,5719",2017-07-16
2017-07-17,"0,5994",2017-07-17
2017-07-18,"-0,6679",2017-07-18
2017-07-19,"-0,592",2017-07-19
2017-07-20,"-0,8533999999999999",2017-07-20
2017-07-21,"0,024600000000000066",2017-07-21
2017-07-22,"-1,0067",2017-07-22
2017-07-23,"-1,4501",2017-07-23
2017-07-24,"0,0",2017-07-24
2017-07-25,"0,0",2017-07-25
2017-07-26,"1,1335000000000002",2017-07-26
2017-07-27,"-0,592",2017-07-27
2017-07-28,"-1,6353",2017-07-28
2017-07-29,"0,10920000000000002",2017-07-29
2017-07-30,"0,0",2017-07-30
2017-07-31,"0,0",2017-07-31
2017-08-01,"-0,045999999999999985",2017-08-01
2017-08-02,"-0,4088",2017-08-02
2017-08-03,"0,7044",2017-08-03
2017-08-04,"0,5267",2017-08-04
2017-08-05,"0,0",2017-08-05
2017-08-06,"0,0",2017-08-06
2017-08-07,"0,0",2017-08-07
2017-08-08,"-0,296",2017-08-08
2017-08-09,"-0,25",2017-08-09
2017-08-10,"0,4215",2017-08-10
2017-08-11,"0,34439999999999993",2017-08-11
2017-08-12,"-0,296",2017-08-12
2017-08-13,"-0,5267",2017-08-13
2017-08-14,"0,3167",2017-08-14
2017-08-15,"0,4767",2017-08-15
2017-08-16,"-1,1187",2017-08-16
2017-08-17,"-0,296",2017-08-17
